Topic,Topic,Year,Paper count
36,57,2007,1
36,62,2008,1
36,63,2008,1
36,64,2011,1
36,67,2011,1
36,68,2011,1
36,72,2010,1
36,74,2008,1
36,75,2009,1
36,75,2012,1
36,75,2007,1
36,78,2001,1
36,79,2012,1
36,81,2011,1
36,84,2010,1
36,85,2002,1
36,85,2011,1
36,85,2004,2
36,85,2014,1
36,88,1997,1
37,44,2003,1
37,53,2008,1
37,55,2008,1
37,55,2013,1
37,57,2008,2
37,57,2012,1
37,61,2004,1
37,76,2014,1
37,83,2008,1
37,83,2009,1
37,83,1998,1
37,88,2001,1
37,91,2008,1
38,39,2008,1
38,39,2012,1
38,40,2011,1
38,40,2005,1
38,53,2005,1
38,72,2010,1
38,72,2013,1
38,94,2011,1
39,40,1997,1
39,43,2008,1
39,51,2001,1
39,51,2010,1
39,51,2006,1
39,52,2000,1
39,52,1998,1
39,55,2001,1
39,59,2005,1
39,62,2015,1
39,68,2014,1
39,69,2004,1
39,73,2004,1
39,75,2001,1
39,76,2002,1
39,79,2009,1
39,79,2010,1
39,80,2009,1
39,80,2003,1
39,80,2012,1
39,82,1998,1
39,85,2000,2
39,85,2001,4
39,85,2002,1
39,85,2003,2
39,85,2004,1
39,85,2007,1
39,85,2012,2
39,85,2015,1
39,92,2011,1
39,92,2007,1
39,93,2015,1
40,44,2008,1
40,44,2006,1
40,45,2014,1
40,47,2011,1
40,47,2003,1
40,47,1998,1
40,47,2014,1
40,52,1996,1
40,52,1999,1
40,52,2000,1
40,52,2001,1
40,52,2002,2
40,52,2014,1
40,53,2008,1
40,53,1995,1
40,53,1999,1
40,54,2011,1
40,54,1998,1
40,54,1999,1
40,56,1992,1
40,56,1988,1
40,56,1998,1
40,57,2007,1
40,58,2014,1
40,61,2004,1
40,65,2012,1
40,66,1997,1
40,68,2012,1
40,69,1987,1
40,69,1989,1
40,69,1991,1
40,69,1997,2
40,69,2004,1
40,69,1983,1
40,74,2010,2
40,74,2015,1
40,75,2004,1
40,78,2015,1
40,79,2002,1
40,83,2008,1
40,83,2012,1
40,83,2010,1
40,83,2011,1
40,83,2004,1
40,85,2001,1
40,85,1995,1
40,85,2005,1
40,88,1988,1
40,88,1998,1
40,88,2001,1
40,88,2002,1
40,88,2005,1
40,88,2007,1
40,89,1993,1
40,89,1989,1
40,89,1999,1
41,54,2003,1
41,63,2012,1
41,67,2003,1
41,68,2008,1
41,68,2009,1
41,68,2003,1
41,68,2013,1
42,49,2012,1
42,58,2014,1
42,71,2014,2
42,72,2008,1
42,73,2015,1
42,76,2014,1
42,76,2015,1
42,88,2012,1
42,90,2010,1
42,91,2013,1
43,51,2008,2
43,51,2006,1
43,58,2012,1
43,58,2015,1
43,61,2012,1
43,61,2015,1
43,70,2015,1
43,85,2009,1
43,85,2013,1
43,85,2015,1
43,87,2006,1
43,88,2010,1
43,88,2013,1
43,94,2008,1
43,94,2009,1
43,94,2002,1
43,94,2011,1
43,94,2014,1
44,46,2010,1
44,46,2011,1
44,46,2006,1
44,46,2007,1
44,47,2002,1
44,47,2004,1
44,47,2005,2
44,50,2012,1
44,50,2013,1
44,51,1987,1
44,58,2014,1
44,58,2015,1
44,60,2002,1
44,60,1987,1
44,63,2007,1
44,67,2007,1
44,68,2013,1
44,68,2014,1
44,71,2012,1
44,71,2007,1
44,74,2007,1
44,74,2009,1
44,74,2010,1
44,74,2011,1
44,74,2012,1
44,74,2013,1
44,75,2008,1
44,75,2010,1
44,75,2013,1
44,77,2005,1
44,79,2007,1
44,80,2010,1
44,81,2013,1
44,81,2014,1
44,91,2014,1
45,49,2014,1
45,50,2010,1
45,58,2011,2
45,58,2012,1
45,58,2013,2
45,58,2014,3
45,58,2015,1
45,69,1985,1
45,69,2014,1
45,72,2009,1
45,78,2013,1
45,80,2009,1
45,82,2002,1
45,82,2011,1
45,82,2014,2
45,87,2002,1
45,87,2011,1
45,87,2014,1
45,90,2012,1
46,47,2012,1
46,47,2006,1
46,48,2005,1
46,53,1995,1
46,53,2012,1
46,53,2015,1
46,58,2007,1
46,71,2012,1
46,72,2008,1
46,72,2010,1
46,73,2012,1
46,73,2007,1
46,76,2011,1
46,81,2007,1
47,48,2004,1
47,48,2005,2
47,48,1998,1
47,53,1993,1
47,53,1996,1
47,53,2000,1
47,53,2001,1
47,53,2002,1
47,53,2003,1
47,53,2005,1
