paperID,author,col3,col4
USENIX_00_13,Vern Paxson,,AT&T Center for Internet Research at ICSI
USENIX_00_14,Anil Somayaji,,University of New Mexico
USENIX_00_14,Stephanie Forrest,,Santa Fe Institute
USENIX_00_15,Robert Stone,,UUNET Technologies Inc. 
USENIX_00_16,Yongguang Zhang,,Bikramjit Singh HRL Laboratories LLC
USENIX_00_17,Matthew Smart,,University of Michigan Ann Arbor
USENIX_00_17,G. Robert Malan,,University of Michigan Ann Arbor
USENIX_00_17,Farnam Jahanian,,University of Michigan Ann Arbor
USENIX_00_18,Jonathan Katz,,Columbia University
USENIX_00_18,Bruce Schneier,,Counterpane Internet Security Inc. 
USENIX_00_19,Michael Brown,,University of Waterloo Canada
USENIX_00_19,Donny Cheung,,University of Waterloo Canada
USENIX_00_19,Darrel Hankerson,,Auburn University
USENIX_00_19,Julio Lopez Hernandez,,State University of Campinas Brazil and University of Valle Colombia
USENIX_00_19,Michael Kirkup,,University of Waterloo Canada
USENIX_00_19,Alfred Menezes,,University of Waterloo Canada
USENIX_00_20,Matt Curtin,,Interhack Corporation
USENIX_01_1,Drew Dean,,Palo Alto Research Center
USENIX_01_1,Adam Stubblefield,,Rice University
USENIX_01_2,David Moore,,CAIDA
USENIX_01_2,Geoffrey M. Voelker,,University of California San Diego
USENIX_01_2,Stefan Savage,,University of California San Diego
USENIX_01_3,Thomer M. Gil,,Vrije Universiteit/M. I. T. 
USENIX_01_3,Massimiliano Poletto,,M. I. T. 
USENIX_01_4,Peter Gutmann,,IBM T. John Watson Research Center
USENIX_01_5,Mike Frantzen,,CERIAS
USENIX_01_5,Mike Shuey,,Engineering Computer Network
USENIX_01_6,Mark Lindemann,,IBM T. John Watson Research Center
USENIX_01_6,Sean W. Smith,,Dartmouth College
USENIX_01_7,Avishai Wool,,Lumeta Corporation
USENIX_01_8,Peter M. Gleitz,,AT&T Labs: Research
USENIX_01_8,Steven M. Bellovin,,AT&T Labs: Research
USENIX_01_9,Mark Handley,,ACIRI
USENIX_01_9,Vern Paxson,,ACIRI
USENIX_01_9,Christian Kreibich,,Technical University of Munich
USENIX_01_10,Scott A. Craver,,Princeton University
USENIX_01_10,Min Wu,,Princeton University
USENIX_01_10,Bede Liu,,Princeton University
USENIX_01_10,Adam Stubblefield,,Rice University
USENIX_01_10,Ben Swartzlander,,Rice University
USENIX_01_10,Dan S. Wallach,,Rice University
USENIX_01_10,Drew Dean,,Princeton University
USENIX_01_10,Edward W. Felten,,Princeton University
USENIX_01_11,Kingpin,,@stake Inc. 
USENIX_01_11,Mudge,,@stake Inc. 
USENIX_01_12,Steven Bauer,,MIT
USENIX_01_12,Nissanka B. Priyantha,,MIT
USENIX_01_13,Crispin Cowan,,WireX Communications Inc. 
USENIX_01_13,Steve Beattie,,WireX Communications Inc. 
USENIX_01_13,Chris Wright,,WireX Communications Inc. 
USENIX_01_13,Greg Kroah-Hartman,,WireX Communications Inc. 
USENIX_01_14,David Larochelle,,University of Virginia
USENIX_01_14,David Evans,,University of Virginia
USENIX_01_15,Crispin Cowan,,WireX Communications Inc. 
USENIX_01_15,Matt Barringer,,WireX Communications Inc. 
USENIX_01_15,Steve Beattie,,WireX Communications Inc. 
USENIX_01_15,Greg Kroah-Hartman,,WireX Communications Inc. 
USENIX_01_15,Mike Frantzen,,Purdue University
USENIX_01_15,Jamie Lokier,,CERN
USENIX_01_16,Umesh Shankar,,University of California at Berkeley
USENIX_01_16,Kunal Talwar,,University of California at Berkeley
USENIX_01_16,Jeffrey S. Foster,,University of California at Berkeley
USENIX_01_16,David A. Wagner,,University of California at Berkeley
USENIX_01_17,Jude T. Regan,,Trinity College Dublin
USENIX_01_17,Christian D. Jensen,,Trinity College Dublin
USENIX_01_18,Olga Kornievskaia,,CITI University of Michigan Ann Arbor
USENIX_01_18,Peter Honeyman,,CITI University of Michigan Ann Arbor
USENIX_01_18,Bill Doster,,CITI University of Michigan Ann Arbor
USENIX_01_18,Kevin Coffman,,CITI University of Michigan Ann Arbor
USENIX_01_19,Kevin Fu,,MIT
USENIX_01_19,Emil Sit,,MIT
USENIX_01_19,Kendra Smith,,MIT
USENIX_01_19,Nick Feamster,,MIT
USENIX_01_20,Naomaru Itoi,,CITI University of Michigan Ann Arbor
USENIX_01_21,Lukasz Opyrchal,,University of Michigan Ann Arbor
USENIX_01_21,Atul Prakash,,University of Michigan Ann Arbor
USENIX_01_22,Dan Boneh,,Stanford University
USENIX_01_22,Xuhua Ding,,University of California Irvine
USENIX_01_22,Gene Tsudik,,University of California Irvine
USENIX_01_22,Chi Ming Wong,,Stanford University
USENIX_01_23,Charlie Kaufman,,Sun Microsystems Laboratories
USENIX_01_23,Iris Associates,,Sun Microsystems Laboratories
USENIX_01_23,Radia Perlman,,Sun Microsystems Laboratories
USENIX_01_24,Niels Provos,,CITI University of Michigan Ann Arbor
USENIX_01_25,Dawn Xiaoding Song,,University of California Berkeley
USENIX_01_25,David A. Wagner,,University of California Berkeley
USENIX_01_25,Xuqing Tian,,University of California Berkeley
USENIX_02_1,Russ Cox,,MIT LCS
USENIX_02_1,Eric Grosse,,Bell Labs
USENIX_02_1,Rob Pike,,Bell Labs
USENIX_02_1,Dave Presotto,,Bell Labs
USENIX_02_1,Avaya Labs,,Bell Labs
USENIX_02_1,Bell Lab,,Bell Labs
USENIX_02_1,Sean Quinlan,,Bell Labs
USENIX_02_2,Chris Wright,,WireX Communications Inc. 
USENIX_02_2,Crispin Cowan,,WireX Communications Inc. 
USENIX_02_2,Stephen Smalley,,NAI Labs
USENIX_02_2,James Morris,,Intercode Pty. 
USENIX_02_2,Greg Kroah-Hartman,,IBM Linux Technology Center
USENIX_02_3,Xiaolan Zhang,,IBM T. John Watson Research Center
USENIX_02_3,Antony Edwards,,IBM T. John Watson Research Center
USENIX_02_3,Trent Jaeger,,IBM T. John Watson Research Center
USENIX_02_4,Yihua Liao,,University of California Davis
USENIX_02_4,V. Rao Vemuri,,University of California Davis
USENIX_02_5,Jonathon T. Giffin,,University of Wisconsin Madison
USENIX_02_5,Somesh Jha,,University of Wisconsin Madison
USENIX_02_5,Barton P. Miller,,University of Wisconsin Madison
USENIX_02_6,Kyung-suk Lhee,,Syracuse University
USENIX_02_6,Steve J. Chapin,,Syracuse University
USENIX_02_7,Lujo Bauer,,Princeton University
USENIX_02_7,Michael A. Schneider,,Princeton University
USENIX_02_7,Edward W. Felten,,Princeton University
USENIX_02_8,Jonathan S. Shapiro,,Johns Hopkins University
USENIX_02_8,John Vanderburgh,,Johns Hopkins University
USENIX_02_9,David Martin,,Boston University
USENIX_02_9,Andrew Schulman,,Software Litigation Consultant
